,accommodates,availability_30,host_total_listings_count,bathrooms,bedrooms,beds,extra_people,guests_included,hos1_iden1i1y_veri0ied,ins1an1_bookable,is_loca1ion_exac1,number_of_reviews,price,host_is_superhost
7839,2,23,1,1,1,1,0,1,0,1,1,4,360,0
7840,3,8,1,1,1,1,0,1,0,1,1,2,563,0
7841,2,29,15,1,1,1,100,1,0,0,1,1,297,0
7842,4,29,15,1,1,3,0,1,0,0,1,14,297,0
7843,2,8,1,1,1,1,0,1,1,0,1,0,1001,0
7844,2,7,6,1,1,1,0,2,0,0,0,26,548,1
7845,2,29,15,1,1,1,100,1,0,0,1,0,297,0
7846,3,13,1,1,1,1,0,1,0,0,1,2,720,0
7847,2,30,1,1,1,1,0,1,0,1,0,2,501,0
7848,5,0,7,1,1,5,0,1,0,1,0,0,602,0
7849,2,29,155,1,1,1,0,1,0,1,0,2,1134,0
7850,2,29,155,1,1,1,0,1,0,1,0,0,1134,0
7851,2,27,155,1,1,2,0,1,0,1,1,0,1134,0
7852,2,27,155,1,1,2,0,1,0,1,0,0,1134,0
7853,1,1,2,1,1,1,0,1,1,0,1,9,329,0
7854,1,0,1,1,0,1,0,1,0,1,0,0,59999,0
7855,4,0,1,1,1,2,120,2,0,0,1,8,696,1
7856,2,25,2,1,1,1,0,1,0,1,1,0,321,1
7857,6,13,18,2,3,3,230,6,0,0,1,8,1181,0
7858,2,3,1,1,1,1,0,1,0,1,1,4,696,0
7859,2,29,101,1,0,1,0,1,0,0,1,0,462,0
7860,2,30,25,1,1,1,0,1,0,0,1,6,579,0
7861,4,0,1,1,1,2,0,1,0,0,1,1,947,0
7862,2,29,219,1,1,1,0,1,0,0,1,0,289,0
7863,2,29,219,1,1,1,0,1,0,0,1,0,235,0
7864,1,23,7,2,1,1,200,1,1,0,1,4,548,1
7865,6,16,1,1,2,3,150,5,1,0,0,33,1001,1
7866,2,0,1,1,1,1,0,1,0,0,1,5,1197,0
7867,4,0,5,1,1,3,60,1,0,1,1,4,853,1
7868,2,29,219,1,1,1,0,1,0,0,1,0,141,0
7869,2,30,25,1,1,1,0,1,0,0,1,2,602,0
7870,2,29,101,1,0,1,0,1,0,0,1,0,501,0
